graph,             i,     j,     k
sx-mathoverflow,   2,     12,    12
sx-mathoverflow,   6,     32,    32
sx-mathoverflow,   10,    48,    8
sx-mathoverflow,   128,   128,   128
cit-HepPh,         8,     192,   192
cit-HepPh,         2,     80,    8
cit-HepPh,         16,    256,   256
soc-Epinions1,     2,     16,    8
soc-Epinions1,     6,     32,    16
soc-Epinions1,     32,     8,    64
p2p-Gnutella31,    32500, 32500, 32500
p2p-Gnutella31,    2,     256,   256
p2p-Gnutella31,    8,     128,   15000
soc-sign-epinions, 4,     24,    24
soc-sign-epinions, 2,     48,    48
soc-sign-epinions, 8,     8,     32
sx-askubuntu,      4,     24,    32
sx-askubuntu,      2,     32,    48
sx-askubuntu,      8,     128,   128
email-EuAll,       8,     192,   64
email-EuAll,       2,     80,    32
email-EuAll,       16,    384,   128
amazon0302,        8,     256,   256
amazon0302,        2,     64,    64
amazon0302,        16,     1024,   1024
mac_econ_fwd500,   8,     256,   256
mac_econ_fwd500,   2,     128,   128
mac_econ_fwd500,   16,    512,   512
shipsec1,          8,     128,   87.5
shipsec1,          2,     64,    175
shipsec1,          16,    256,   42
pwtk,              8,     48,    48
pwtk,              4,     24,    24
pwtk,              2,     96,    96
consph,            4,     24,    32
consph,            8,     48,    64
consph,            2,     12,    16
cant,              8,     24,    16
cant,              4,     48,    32
cant,              16,    12,    8
rma10,             8,     128,   64
rma10,             4,     64,    32
rma10,             16,    512,   128
pdb1HYS,           4,     12,    24
pdb1HYS,           8,     24,    12
pdb1HYS,           2,     48,    96
bcsstk17,          8,     24,    32
bcsstk17,          4,     48,    64
bcsstk17,          16,    12,    16
cop20k_A,          8,     24,    32
cop20k_A,          16,    12,    16
cop20k_A,          4,     48,    64
scircuit,          8,     24,    32
scircuit,          2,     12,    16
scircuit,          16,    48,    64
enron,             8,     24,    32
enron,             2,     12,    64
enron,             16,    48,    16
mc2depi,           8,     128,   128
mc2depi,           2,     64,    256
mc2depi,           4,     256,   64

